id,time,summary,icon,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone,precipType,,,,,,
102,1483617600,Overcast,cloudy,0,0,54.75,54.75,53.49,0.96,1012.11,1.02,1.13,269,1,0,3.002,,,,,,,,
103,1483621200,Overcast,cloudy,0,0,54.35,54.35,54.13,0.99,,0.37,1.39,,1,0,3.438,,,,,,,,
104,1483624800,Overcast,cloudy,0,0,54.3,54.3,53.65,0.98,,0.82,1.19,2,1,0,2.439,,,,,,,,
105,1483628400,Foggy,fog,0,0,56.35,56.35,55.49,0.97,1013.8,0.68,0.68,131,1,1,1.478,,,,,,,,
106,1483632000,Mostly Cloudy,partly-cloudy-day,0,0,60.17,60.17,56.08,0.86,,1.17,1.67,16,0.59,2,2.521,,,,,,,,
107,1483635600,Partly Cloudy,partly-cloudy-day,0,0,64.44,64.44,56.33,0.75,,0.64,4.93,234,0.31,3,3.002,,,,,,,,
108,1483639200,Partly Cloudy,partly-cloudy-day,0,0,68.72,68.72,56.21,0.64,1012.6,2.35,3.66,29,0.23,4,4.44,,,,,,,,
109,1483642800,Partly Cloudy,partly-cloudy-day,0,0,72.09,72.09,57.71,0.61,,2.34,7.9,52,0.23,4,6.522,,,,,,,,
110,1483646400,Clear,clear-day,0,0,74.66,74.66,57.71,0.56,,2.14,4.32,80,0.1,4,6.522,,,,,,,,
111,1483650000,Clear,clear-day,0,0,76.62,76.62,58.26,0.53,1006.65,2.32,5.72,55,0,3,7.002,,,,,,,,
112,1483653600,Clear,clear-day,0,0,77.51,77.51,57.78,0.51,,3.81,6.17,101,0,1,6.522,,,,,,,,
113,1483657200,Clear,clear-day,0,0,75.78,75.78,58.11,0.54,,3.28,5.31,92,0,0,5.438,,,,,,,,
114,1483660800,Clear,clear-day,0,0,71.81,71.81,59.77,0.66,1006.45,2.62,2.62,93,0,0,7.002,,,,,,,,
115,1483664400,Clear,clear-night,0,0,69,69,58.65,0.7,,1.55,3.06,90,0,0,7.002,,,,,,,,
116,1483668000,Clear,clear-night,0,0,66.05,66.05,57.31,0.73,,1.6,2.24,89,0,0,6.436,,,,,,,,
117,1483671600,Clear,clear-night,0,0,64.03,64.09,59.19,0.84,1008.37,0.6,0.73,128,0,0,6.436,,,,,,,,
118,1483675200,Clear,clear-night,0,0,61.83,61.83,57.96,0.87,,0.24,0.99,,0,0,6.436,,,,,,,,
119,1483678800,Clear,clear-night,0,0,61.12,61.17,58.16,0.9,,0.62,0.94,297,0,0,6.436,,,,,,,,
120,1483682400,Clear,clear-night,0,0,60.48,60.55,58.08,0.92,1008.24,0.94,0.94,241,0,0,5.48,,,,,,,,
121,1483686000,Mostly Cloudy,partly-cloudy-night,0,0,60.29,60.38,58.17,0.93,,1.15,2.44,354,0.75,0,5,,,,,,,,
122,1483689600,Overcast,cloudy,0,0,60.51,60.53,57.85,0.91,,1.16,1.77,42,1,0,5,,,,,,,,
123,1483693200,Overcast,cloudy,0,0,62.15,62.35,59.56,0.91,1009.44,1.93,3.5,66,1,0,6.001,,,,,,,,
124,1483696800,Overcast,cloudy,0,0,61.97,62.14,59.28,0.91,,1.89,1.89,321,1,0,5,,,,,,,,
125,1483700400,Overcast,cloudy,0,0,61.74,61.89,59.13,0.91,,1.25,1.28,37,1,0,5,,,,,,,,
126,1483704000,Overcast,cloudy,0,0,61.31,61.31,57.71,0.88,1010.71,2.77,2.77,29,1,0,6.001,,,,,,,,
127,1483707600,Overcast,cloudy,0,0,56.3,56.3,53.59,0.91,,7.33,8.17,350,1,0,8.081,,,,,,,,
128,1483711200,Overcast,cloudy,0,0,51.9,51.9,48.16,0.87,,6.94,8.34,358,1,0,2.521,,,,,,,,
129,1483714800,Overcast,cloudy,0,0,48.34,46.18,46.46,0.93,1015.67,5.14,11.42,2,1,1,2.521,,,,,,,,
130,1483718400,Overcast,cloudy,0,0,47.1,44.9,45.36,0.94,,4.87,8.42,21,1,2,3.48,,,,,,,,
131,1483722000,Overcast,cloudy,0.0005,0.18,45.62,41.57,44.19,0.95,,7.7,11.73,4,1,2,3.002,rain,,,,,,,
132,1483725600,Overcast,cloudy,0.0014,0.18,44.23,40.71,42.97,0.95,1019.18,6.14,10.49,1,1,3,3.002,rain,,,,,,,
133,1483729200,Overcast,cloudy,0.0005,0.2,44.53,40.78,42.6,0.93,,6.65,9.12,356,1,3,4.563,rain,,,,,,,
134,1483732800,Overcast,cloudy,0,0,44.28,39.51,41.96,0.91,,8.63,9.41,352,1,3,6.001,,,,,,,,
135,1483736400,Overcast,cloudy,0,0,44.57,41.99,41.66,0.89,1018.06,4.8,10.16,3,1,2,6.522,,,,,,,,
136,1483740000,Overcast,cloudy,0,0,43.72,40.23,40.54,0.88,,5.93,8.18,5,1,1,6.001,,,,,,,,
137,1483743600,Overcast,cloudy,0,0,42.37,37.27,39.27,0.89,,8.43,11.19,345,1,0,5.48,,,,,,,,
138,1483747200,Overcast,cloudy,0.0003,0.14,40.52,35.02,37.8,0.9,1018.81,8.4,15.27,4,1,0,5.396,rain,,,,,,,
139,1483750800,Overcast,cloudy,0,0,38.78,34.22,36.59,0.92,,6.13,13.86,344,1,0,6.874,,,,,,,,
140,1483754400,Overcast,cloudy,0,0,37.28,31.53,35.53,0.93,,7.56,13.3,352,1,0,5.573,,,,,,,,
141,1483758000,Overcast,cloudy,0,0,36.09,28.75,33.97,0.92,1026.26,10.11,18.9,351,1,0,6.793,,,,,,,,
142,1483761600,Overcast,cloudy,0,0,35.42,27.66,32.72,0.9,,10.65,16.97,353,1,0,7.396,,,,,,,,
143,1483765200,Overcast,cloudy,0.0014,0.07,35.04,29.18,30.74,0.84,,6.96,10.95,1,1,0,7.917,rain,,,,,,,
144,1483768800,Overcast,cloudy,0.0019,0.23,rain,35.51,29.41,30.79,0.83,1025.86,7.5,8.18,5,1,0,7.917,,,,,,,
145,1483772400,Overcast,cloudy,0.0004,0.15,rain,35.96,32.02,32.56,0.87,,4.66,11.05,355,1,0,9.997,,,,,,,
146,1483776000,Overcast,cloudy,0,0,,35.75,29.62,30.81,0.82,,7.64,11.63,9,1,0,9.997,,,,,,,
147,1483779600,Overcast,cloudy,0,0,,34.78,29.41,27.67,0.75,1036.33,6.17,14.59,9,1,0,9.997,,,,,,,
148,1483783200,Overcast,cloudy,0,0,,34.21,27.98,26.75,0.74,,7.29,8.13,2,1,0,9.997,,,,,,,
149,1483786800,Overcast,cloudy,0,0,,34.03,27.26,25.76,0.71,,8.09,8.09,7,1,0,9.997,,,,,,,
150,1483790400,Overcast,cloudy,0,0,,33.76,27.93,25.35,0.71,1037.41,6.55,10.76,3,1,0,10,,,,,,,
151,1483794000,Mostly Cloudy,partly-cloudy-night,0,0,,33.02,25.28,23.68,0.68,,9.42,10.02,0,0.87,0,10,,,,,,,
152,1483797600,Mostly Cloudy,partly-cloudy-day,0,0,,32,24.59,21.38,0.65,,8.43,13.49,9,0.75,0,10,,,,,,,
153,1483801200,Mostly Cloudy,partly-cloudy-day,0,0,,31.49,26.82,20.51,0.63,1057.56,4.64,10.17,359,0.75,1,10,,,,,,,
154,1483804800,Mostly Cloudy,partly-cloudy-day,0,0,,31.99,27.41,20.18,0.61,,4.63,6.95,9,0.75,2,10,,,,,,,
155,1483808400,Mostly Cloudy,partly-cloudy-day,0,0,,33.9,33.9,21.21,0.59,,2.81,5.94,16,0.75,3,10,,,,,,,
156,1483812000,Mostly Cloudy,partly-cloudy-day,0,0,,37.54,33.81,23.05,0.56,1042.13,4.73,7.18,7,0.75,3,10,,,,,,,
157,1483815600,Mostly Cloudy,partly-cloudy-day,0,0,,40.68,38.47,24.38,0.52,,3.61,7.21,18,0.59,4,10,,,,,,,
158,1483819200,Clear,clear-day,0,0,,43.13,43.13,24.11,0.47,,1.9,3.65,351,0,4,10,,,,,,,
159,1483822800,Clear,clear-day,0,0,,46.03,46.03,24.3,0.42,1037.59,2.45,9.18,1,0,3,10,,,,,,,
160,1483826400,Clear,clear-day,0,0,,46.43,46.43,22.86,0.39,,2.38,7.87,0,0,1,10,,,,,,,
161,1483830000,Clear,clear-day,0,0,,45.97,45.97,23.15,0.4,,1.84,6.46,45,0,0,10,,,,,,,
162,1483833600,Clear,clear-day,0,0,,45.3,45.3,25.57,0.46,1038.65,1.8,2.87,119,0,0,10,,,,,,,
163,1483837200,Clear,clear-night,0,0,,42.29,40.22,23.82,0.48,,3.72,7.28,130,0,0,10,,,,,,,
164,1483840800,Clear,clear-night,0,0,,40.67,40.67,25.9,0.55,,2.61,6.75,123,0,0,10,,,,,,,
165,1483844400,Clear,clear-night,0,0,,39.35,39.35,24.66,0.55,1040.41,2.82,7.69,125,0,0,10,,,,,,,
166,1483848000,Clear,clear-night,0,0,,38.48,35.16,22.79,0.53,,4.44,8.26,146,0,0,10,,,,,,,
167,1483851600,Clear,clear-night,0,0,,37.66,37.66,20.51,0.5,,2.49,6.68,118,0,0,10,,,,,,,
168,1483855200,Partly Cloudy,partly-cloudy-night,0,0,37.25,34.24,20.15,0.5,1040.78,3.9,6.97,117,0.38,0,10,,,,,,,,
169,1483858800,Overcast,cloudy,0,0,37.54,37.54,20.36,0.5,,0.79,7.65,104,1,0,10,,,,,,,,
170,1483862400,Overcast,cloudy,0,0,37.47,37.47,21.25,0.52,,0.59,4.66,325,1,0,10,,,,,,,,
171,1483866000,Overcast,cloudy,0,0,36.77,36.77,20.97,0.52,1041.23,0.29,2.61,,1,0,10,,,,,,,,
172,1483869600,Overcast,cloudy,0,0,35.44,35.44,21.75,0.57,,0.14,1.55,,1,0,10,,,,,,,,
173,1483873200,Overcast,cloudy,0,0,34.83,34.83,21.88,0.59,,0.22,2.14,,1,0,10,,,,,,,,
